     1 ,     273.72 ,       0.00 
     2 ,      39.53 ,       0.05 
     4 ,      39.20 ,       0.10 
     8 ,      38.59 ,       0.21 
    16 ,      39.01 ,       0.41 
    32 ,      38.79 ,       0.83 
    64 ,      39.32 ,       1.63 
   128 ,      39.41 ,       3.25 
   256 ,      39.44 ,       6.49 
   512 ,      39.52 ,      12.96 
  1024 ,      39.57 ,      25.88 
  2048 ,      39.78 ,      51.48 
  4096 ,      39.24 ,     104.40 
  8192 ,      37.15 ,     220.51 
 16384 ,      37.11 ,     441.56 
 32768 ,      37.01 ,     885.28 
 65536 ,      41.26 ,    1588.20 
131072 ,      46.53 ,    2816.95 
262144 ,      57.47 ,    4561.44 
524288 ,      79.44 ,    6599.81 
1048576 ,     117.05 ,    8958.05 
2097152 ,     198.40 ,   10570.32 
4194304 ,     357.74 ,   11724.61 
