     1 ,      81.62 ,       0.01 
     2 ,      81.95 ,       0.02 
     4 ,      81.14 ,       0.05 
     8 ,      81.96 ,       0.10 
    16 ,      81.96 ,       0.20 
    32 ,      81.97 ,       0.39 
    64 ,     163.64 ,       0.39 
   128 ,     163.49 ,       0.78 
   256 ,     179.76 ,       1.42 
   512 ,     194.73 ,       2.63 
  1024 ,     245.27 ,       4.18 
  2048 ,     165.20 ,      12.40 
  4096 ,     284.90 ,      14.38 
  8192 ,     492.49 ,      16.63 
 16384 ,     928.98 ,      17.64 
 32768 ,    1638.95 ,      19.99 
 65536 ,    2984.03 ,      21.96 
131072 ,    5849.43 ,      22.41 
262144 ,   15078.60 ,      17.39 
524288 ,   27570.31 ,      19.02 
1048576 ,   88939.16 ,      11.79 
2097152 ,  177803.98 ,      11.79 
4194304 ,  413391.34 ,      10.15 
