     1 ,     123.60 ,       0.01 
     2 ,     120.92 ,       0.02 
     4 ,     122.76 ,       0.03 
     8 ,     122.70 ,       0.07 
    16 ,     123.11 ,       0.13 
    32 ,     125.19 ,       0.26 
    64 ,     251.31 ,       0.25 
   128 ,     264.41 ,       0.48 
   256 ,     165.63 ,       1.55 
   512 ,     297.15 ,       1.72 
  1024 ,     201.49 ,       5.08 
  2048 ,     239.36 ,       8.56 
  4096 ,     359.47 ,      11.39 
  8192 ,     524.17 ,      15.63 
 16384 ,     937.80 ,      17.47 
